step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
100,0.731536523929471,0.7603531899017535,0.9155555555555556,0.9855555555555555,0.9566687154271666,0.9784639746634997,0.9953,0.7430851063829788
200,0.7332997481108312,0.7633378932968536,0.9274603174603174,0.9859259259259259,0.9585894283958205,0.9877276326207443,0.9953,0.7446808510638298
300,0.7366246851385391,0.7705509265016789,0.9377777777777778,0.9914814814814815,0.9618162261831592,0.9855106888361045,0.9959,0.7569148936170212
400,0.7413098236775819,0.7717945529163039,0.9350793650793651,0.9892592592592593,0.9619314689612785,0.9866191607284244,0.996,0.7622340425531915
500,0.740654911838791,0.7729138166894665,0.9338095238095238,0.9896296296296296,0.9555162876459742,0.9878859857482185,0.9957,0.7611702127659574
600,0.7414105793450881,0.7736599925382415,0.9374603174603174,0.9911111111111112,0.9627765826674862,0.9888361045130641,0.996,0.7632978723404256
700,0.7410579345088161,0.7721676408406914,0.9373015873015873,0.9918518518518519,0.9610863552550707,0.9885985748218528,0.9962,0.7632978723404256
800,0.7421158690176323,0.7736599925382415,0.9376190476190476,0.9911111111111112,0.9613168408113092,0.9885985748218528,0.9963,0.7638297872340426
900,0.7410579345088161,0.773286904613854,0.9371428571428572,0.9911111111111112,0.9619698832206515,0.9888361045130641,0.9963,0.7638297872340426
1000,0.7409068010075567,0.7739087178211665,0.9371428571428572,0.9911111111111112,0.9620851259987707,0.988756927949327,0.9964,0.7638297872340426
