step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
100,0.7211083123425692,0.7455540355677155,0.9285714285714286,0.9692592592592593,0.9364628149969269,0.9737133808392716,0.9942,0.725
200,0.7363727959697733,0.7617211789578411,0.9288888888888889,0.9811111111111112,0.9562461585740627,0.9798099762470309,0.9945,0.749468085106383
300,0.7318387909319899,0.7630891680139286,0.9311111111111111,0.9829629629629629,0.9532882606023356,0.985827395091053,0.995,0.7569148936170212
400,0.7363727959697733,0.7679393110309662,0.9361904761904762,0.9807407407407407,0.9536724031960664,0.9865399841646872,0.9952,0.7558510638297873
500,0.7381360201511336,0.7712971023504539,0.9368253968253968,0.9822222222222222,0.9547864167178857,0.9876484560570071,0.9955,0.7531914893617021
600,0.7381360201511336,0.7739087178211665,0.9415873015873016,0.9833333333333333,0.9572833435771358,0.9869358669833729,0.9954,0.7547872340425532
700,0.7385390428211587,0.774281805745554,0.9419047619047619,0.9837037037037037,0.9594345421020283,0.9870942201108472,0.9957,0.7563829787234042
800,0.7404030226700252,0.773784355179704,0.9422222222222222,0.9825925925925926,0.9603564843269822,0.9872525732383215,0.9956,0.7553191489361702
900,0.7405037783375314,0.7736599925382415,0.942063492063492,0.9822222222222222,0.9607406269207129,0.9873317498020586,0.9955,0.7553191489361702
1000,0.7405037783375314,0.773286904613854,0.9419047619047619,0.9822222222222222,0.9607022126613399,0.9874109263657957,0.9955,0.7553191489361702
