step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
100,0.7209571788413098,0.7526427061310782,0.9361904761904762,0.8692592592592593,0.9295482483097726,0.9441013460015836,0.9906,0.7414893617021276
200,0.7220654911838791,0.7522696182066907,0.909047619047619,0.9814814814814815,0.960279655808236,0.9803642121931908,0.9949,0.7303191489361702
300,0.7275566750629723,0.7630891680139286,0.9388888888888889,0.9885185185185185,0.9627765826674862,0.9814726840855107,0.9949,0.7404255319148936
400,0.7285138539042821,0.7647058823529411,0.9312698412698412,0.9818518518518519,0.9627381684081131,0.982818685669042,0.9963,0.7372340425531915
500,0.7353652392947103,0.7568710359408034,0.9473015873015873,0.9896296296296296,0.9629686539643516,0.9831353919239905,0.9954,0.7297872340425532
600,0.7347103274559194,0.7675662231065787,0.9461904761904761,0.9885185185185185,0.9638137676705593,0.9886777513855899,0.9962,0.7319148936170212
700,0.7383879093198993,0.7675662231065787,0.9442857142857143,0.9892592592592593,0.9658497234173326,0.9895486935866984,0.9964,0.7319148936170212
800,0.7382367758186398,0.7706752891431414,0.9463492063492064,0.9892592592592593,0.9660802089735709,0.9902612826603325,0.9962,0.7329787234042553
900,0.7380352644836272,0.7714214649919164,0.9476190476190476,0.9892592592592593,0.9666948371235402,0.9906571654790182,0.9963,0.7329787234042553
1000,0.7380856423173804,0.7706752891431414,0.947936507936508,0.9892592592592593,0.9666948371235402,0.990577988915281,0.9963,0.7329787234042553
