scaling_coef,dataset,acc
0.0,Cars,0.5503046884715831
0.0,EuroSAT,0.2351851851851852
0.0,RESISC45,0.5488888888888889
0.0,GTSRB,0.18329374505146476
0.1,Cars,0.5847531401566969
0.1,EuroSAT,0.327037037037037
0.1,RESISC45,0.6242857142857143
0.1,GTSRB,0.24156769596199526
0.2,Cars,0.6187041412759607
0.2,EuroSAT,0.4266666666666667
0.2,RESISC45,0.6957142857142857
0.2,GTSRB,0.3107680126682502
0.30000000000000004,Cars,0.6405919661733616
0.30000000000000004,EuroSAT,0.5025925925925926
0.30000000000000004,RESISC45,0.7450793650793651
0.30000000000000004,GTSRB,0.3980997624703088
0.4,Cars,0.6614848899390623
0.4,EuroSAT,0.5496296296296296
0.4,RESISC45,0.7787301587301587
0.4,GTSRB,0.4901821060965954
0.5,Cars,0.6795174729511255
0.5,EuroSAT,0.5722222222222222
0.5,RESISC45,0.799047619047619
0.5,GTSRB,0.5560570071258908
0.6000000000000001,Cars,0.679890560875513
0.6000000000000001,EuroSAT,0.5833333333333334
0.6000000000000001,RESISC45,0.8068253968253968
0.6000000000000001,GTSRB,0.6034837688044339
0.7000000000000001,Cars,0.6719313518219127
0.7000000000000001,EuroSAT,0.5896296296296296
0.7000000000000001,RESISC45,0.799047619047619
0.7000000000000001,GTSRB,0.6379255740300871
0.8,Cars,0.6520333291879119
0.8,EuroSAT,0.5877777777777777
0.8,RESISC45,0.7844444444444445
0.8,GTSRB,0.6619160728424386
0.9,Cars,0.6142270861833106
0.9,EuroSAT,0.5885185185185186
0.9,RESISC45,0.7606349206349207
0.9,GTSRB,0.6769596199524941
1.0,Cars,0.5648551175226962
1.0,EuroSAT,0.5888888888888889
1.0,RESISC45,0.7323809523809524
1.0,GTSRB,0.6859857482185273
