scaling_coef,dataset,acc
0.0,Cars,0.5937072503419972
0.0,EuroSAT,0.2518518518518518
0.0,RESISC45,0.6085714285714285
0.0,GTSRB,0.2758511480601742
0.1,Cars,0.6233055590100733
0.1,EuroSAT,0.3511111111111111
0.1,RESISC45,0.6911111111111111
0.1,GTSRB,0.3341250989707047
0.2,Cars,0.6505409774903619
0.2,EuroSAT,0.482962962962963
0.2,RESISC45,0.7484126984126984
0.2,GTSRB,0.405938242280285
0.30000000000000004,Cars,0.6752891431414003
0.30000000000000004,EuroSAT,0.6040740740740741
0.30000000000000004,RESISC45,0.8001587301587302
0.30000000000000004,GTSRB,0.5008709422011085
0.4,Cars,0.6905857480412884
0.4,EuroSAT,0.6811111111111111
0.4,RESISC45,0.8328571428571429
0.4,GTSRB,0.5919239904988124
0.5,Cars,0.7006591219997512
0.5,EuroSAT,0.7281481481481481
0.5,RESISC45,0.8441269841269842
0.5,GTSRB,0.6563737133808393
0.6000000000000001,Cars,0.7005347593582888
0.6000000000000001,EuroSAT,0.7466666666666667
0.6000000000000001,RESISC45,0.8496825396825397
0.6000000000000001,GTSRB,0.6972288202692003
0.7000000000000001,Cars,0.6862330555901007
0.7000000000000001,EuroSAT,0.7544444444444445
0.7000000000000001,RESISC45,0.8423809523809523
0.7000000000000001,GTSRB,0.7273950910530483
0.8,Cars,0.6657132197487875
0.8,EuroSAT,0.7525925925925926
0.8,RESISC45,0.8241269841269842
0.8,GTSRB,0.7438638163103721
0.9,Cars,0.627160800895411
0.9,EuroSAT,0.7488888888888889
0.9,RESISC45,0.7979365079365079
0.9,GTSRB,0.7552652414885194
1.0,Cars,0.5743066782738465
1.0,EuroSAT,0.7362962962962963
1.0,RESISC45,0.7758730158730158
1.0,GTSRB,0.7569279493269992
