scaling_coef,dataset,acc
0.0,Cars,0.5790324586494218
0.0,EuroSAT,0.22703703703703704
0.0,RESISC45,0.5776190476190476
0.0,GTSRB,0.3107680126682502
0.1,Cars,0.6095013058077353
0.1,EuroSAT,0.3125925925925926
0.1,RESISC45,0.6552380952380953
0.1,GTSRB,0.4014251781472684
0.2,Cars,0.6417112299465241
0.2,EuroSAT,0.4203703703703704
0.2,RESISC45,0.7163492063492064
0.2,GTSRB,0.4996041171813143
0.30000000000000004,Cars,0.6683248352195
0.30000000000000004,EuroSAT,0.534074074074074
0.30000000000000004,RESISC45,0.7585714285714286
0.30000000000000004,GTSRB,0.6152810768012669
0.4,Cars,0.680885462007213
0.4,EuroSAT,0.6014814814814815
0.4,RESISC45,0.780952380952381
0.4,GTSRB,0.7006334125098971
0.5,Cars,0.6876010446461883
0.5,EuroSAT,0.6374074074074074
0.5,RESISC45,0.7947619047619048
0.5,GTSRB,0.7525732383214568
0.6000000000000001,Cars,0.6867305061559508
0.6000000000000001,EuroSAT,0.6544444444444445
0.6000000000000001,RESISC45,0.7968253968253968
0.6000000000000001,GTSRB,0.7799683293745051
0.7000000000000001,Cars,0.6685735605024251
0.7000000000000001,EuroSAT,0.6474074074074074
0.7000000000000001,RESISC45,0.7836507936507936
0.7000000000000001,GTSRB,0.7912114014251781
0.8,Cars,0.6424574057952991
0.8,EuroSAT,0.6362962962962962
0.8,RESISC45,0.763968253968254
0.8,GTSRB,0.7926365795724466
0.9,Cars,0.6020395473199851
0.9,EuroSAT,0.6155555555555555
0.9,RESISC45,0.7382539682539683
0.9,GTSRB,0.7852731591448932
1.0,Cars,0.5414749409277453
1.0,EuroSAT,0.5907407407407408
1.0,RESISC45,0.7042857142857143
1.0,GTSRB,0.7718131433095804
