scaling_coef,dataset,acc
0.0,Cars,0.6465613729635618
0.0,EuroSAT,0.5422222222222223
0.0,RESISC45,0.656984126984127
0.0,GTSRB,0.4338875692794933
0.1,Cars,0.6940679020022386
0.1,EuroSAT,0.82
0.1,RESISC45,0.7514285714285714
0.1,GTSRB,0.5438638163103722
0.2,Cars,0.732122870289765
0.2,EuroSAT,0.9274074074074075
0.2,RESISC45,0.8171428571428572
0.2,GTSRB,0.6789390340459224
0.30000000000000004,Cars,0.7533888819798532
0.30000000000000004,EuroSAT,0.9607407407407408
0.30000000000000004,RESISC45,0.8538095238095238
0.30000000000000004,GTSRB,0.8051464766429137
0.4,Cars,0.7574928491481159
0.4,EuroSAT,0.9729629629629629
0.4,RESISC45,0.863015873015873
0.4,GTSRB,0.8658749010292953
0.5,Cars,0.746922024623803
0.5,EuroSAT,0.9785185185185186
0.5,RESISC45,0.8542857142857143
0.5,GTSRB,0.885193982581156
0.6000000000000001,Cars,0.7088670563362766
0.6000000000000001,EuroSAT,0.977037037037037
0.6000000000000001,RESISC45,0.8353968253968254
0.6000000000000001,GTSRB,0.8865399841646873
0.7000000000000001,Cars,0.6459395597562492
0.7000000000000001,EuroSAT,0.97
0.7000000000000001,RESISC45,0.803015873015873
0.7000000000000001,GTSRB,0.8744259699129058
0.8,Cars,0.5437134684740704
0.8,EuroSAT,0.9607407407407408
0.8,RESISC45,0.7657142857142857
0.8,GTSRB,0.8428345209817893
0.9,Cars,0.39970152966049
0.9,EuroSAT,0.9388888888888889
0.9,RESISC45,0.7250793650793651
0.9,GTSRB,0.7944576405384006
1.0,Cars,0.240268623305559
1.0,EuroSAT,0.9062962962962963
1.0,RESISC45,0.6653968253968254
1.0,GTSRB,0.7363420427553444
