scaling_coef,dataset,acc
0.0,Cars,0.6099987563735854
0.0,EuroSAT,0.1985185185185185
0.0,RESISC45,0.5174603174603175
0.0,GTSRB,0.2625494853523357
0.1,Cars,0.6441984827757742
0.1,EuroSAT,0.28185185185185185
0.1,RESISC45,0.6084126984126984
0.1,GTSRB,0.30704671417260493
0.2,Cars,0.6775276706877255
0.2,EuroSAT,0.37444444444444447
0.2,RESISC45,0.6736507936507936
0.2,GTSRB,0.3611243072050673
0.30000000000000004,Cars,0.705011814450939
0.30000000000000004,EuroSAT,0.4622222222222222
0.30000000000000004,RESISC45,0.7301587301587301
0.30000000000000004,GTSRB,0.4203483768804434
0.4,Cars,0.7271483646312648
0.4,EuroSAT,0.5303703703703704
0.4,RESISC45,0.7734920634920635
0.4,GTSRB,0.4870942201108472
0.5,Cars,0.7446834970774779
0.5,EuroSAT,0.55
0.5,RESISC45,0.795079365079365
0.5,GTSRB,0.5427553444180523
0.6000000000000001,Cars,0.7530157940554657
0.6000000000000001,EuroSAT,0.5425925925925926
0.6000000000000001,RESISC45,0.8065079365079365
0.6000000000000001,GTSRB,0.5807600950118765
0.7000000000000001,Cars,0.7513990797164531
0.7000000000000001,EuroSAT,0.5351851851851852
0.7000000000000001,RESISC45,0.8052380952380952
0.7000000000000001,GTSRB,0.6015043547110055
0.8,Cars,0.7370973759482652
0.8,EuroSAT,0.5081481481481481
0.8,RESISC45,0.7974603174603174
0.8,GTSRB,0.6121931908155186
0.9,Cars,0.7154582763337893
0.9,EuroSAT,0.48
0.9,RESISC45,0.7857142857142857
0.9,GTSRB,0.6129057798891528
1.0,Cars,0.6829996269120756
1.0,EuroSAT,0.43851851851851853
1.0,RESISC45,0.7682539682539683
1.0,GTSRB,0.6044338875692795
